Ses01F_impro01_F000,EXCUSE ME,EXCUSE,EXCUSE ME OH,EXCUSE ME AND,OH EXCUSE ME,BUT EXCUSE ME,EXCUSE ME SIR,EXCUSE ME BUT,EXCUSE ME NOW,AND EXCUSE ME
Ses02F_impro07_F018,WHY NOW I DON'T THEN I DON'T YOU GO AND YOU LIKE TO STAY FOR A COUPLE OF DAYS AND YOU MEET PEOPLE WHO'LL GIVE YOU LIKE A TOUR AND I'LL SHOW YOU EVERYTHING AND UH AND I'LL TELL YOU WHAT,WHY NOW I DON'T THEN I DON'T YOU GO AND YOU LIKE SAFE FOR A COUPLE OF DAYS AND YOU MEET PEOPLE THAT WON'T GIVE YOU LIKE A TOUR AND I'LL SHOW YOU EVERYTHING AND UH AND I'LL TELL YOU WHAT,WHY NO I DON'T THEN I DON'T YOU GO AND YOU LIKE SAFE FOR A COUPLE OF DAYS AND YOU MEET PEOPLE THAT WON'T GIVE YOU LIKE A TOUR AND I'LL SHOW YOU EVERYTHING AND UH AND I'LL TELL YOU WHAT,WHY NOW I DON'T THEN I DON'T YOU GO WHEN YOU LIKE SAFE FOR A COUPLE OF DAYS AND YOU MEET PEOPLE THAT WON'T GIVE YOU LIKE A TOUR AND I'LL SHOW YOU EVERYTHING AND UH AND I'LL TELL YOU WHAT,WHY NOW I DON'T THEY I DON'T YOU GO AND YOU LIKE SAFE FOR A COUPLE OF DAYS AND YOU MEET PEOPLE THAT WON'T GIVE YOU LIKE A TOUR AND I'LL SHOW YOU EVERYTHING AND UH AND I'LL TELL YOU WHAT,WHY NOW I DON'T THEN I DON'T YOU GO AND YOU LIKE SAFE FOR A COUPLE OF DAYS AND YOU MEET PEOPLE THAT WON'T GIVE YOU LIKE A TOUR AND I'LL SHOW YOU EVERYTHING AND UH AND I'LL GO WITH YOU,WHY NOW I DON'T THEN I DON'T YOU GO AND YOU LIKE TO STAY FOR A COUPLE OF DAYS AND YOU MEET PEOPLE WHO'LL GIVE YOU LIKE A TOUR AND I'LL SHOW YOU EVERYTHING AND UH AND I'LL GO WITH YOU,WHY NOW I DON'T THEN I DON'T YOU GO AND YOU LIKE TO STAY FOR A COUPLE OF DAYS AND YOU MEET PEOPLE WHO'LL GIVE YOU LIKE A TOUR AND I'LL SHOW YOU EVERYTHING AND UH AND I WON'T TELL YOU WHAT,WHY NOW I DON'T THEN I DON'T YOU GO AND YOU LIKE SAFE FOR A COUPLE OF DAYS AND YOU MEET PEOPLE THAT WON'T GIVE YOU LIKE A TOUR AND I'LL SHOW YOU EVERYTHING AND UH AND I WON'T TELL YOU WHAT,WHY NOW I DON'T THEN I DON'T YOU GO AND YOU LIKE TO STAY FOR A COUPLE OF DAYS AND YOU MEET PEOPLE WHO'LL GIVE YOU LIKE A TOUR AND I'LL SHOW YOU EVERYTHING AND UH UH I DON'T KNOW
Ses02F_impro07_F019,YEAH TOTALLY IT'S A BEAUTIFUL CANVAS IT'S CAN BE REALLY NICE EM AND THE ROOM THAT'S FRIENDLY AND LIKE THERE'S IVY AND ON THE WALLS AND BUSHES SO IT'S SO LIKE COLLEGIATE,YEAH TOTALLY IT'S A BEAUTIFUL CANVAS IT'S CAN BE REALLY NICE EM AND THE ROOM THAT'S FRIENDLY AND LIKE THERE'S IVY AND ON THE WALLS AND BUSHES SO IT'S NOT LIKE COLLEGIATE,YEAH TOTALLY IT'S A BEAUTIFUL CANVAS IT'S CAN BE REALLY NICE EM AND THE ROOM THAT'S FRIENDLY AND LIKE THERE'S IVY AND ON THE WALLS AND BUSHES SO IT'S ALL LIKE COLLEGIATE,YEAH TURTLE IT'S A BEAUTIFUL CANVAS IT'S CAN BE REALLY NICE I'M AND THE ROOM THAT'S FRIENDLY AND LIKE THERE'S IVY AND ON THE WALLS AND BUSHES SO IT'S SO LIKE COLLEGIATE,YEAH TURTLE IT'S A BEAUTIFUL CANVAS IT'S CAN BE REALLY NICE I'M AND THE ROOM THAT'S FRIENDLY AND LIKE THERE'S IVY AND ON THE WALLS AND ASHES SO IT'S SO LIKE COLLEGIATE,YEAH TURTLE IT'S A BEAUTIFUL CANVAS IT'S CAN BE REALLY NICE I'M AND THE ROOM THAT'S FRIENDLY AND LIKE THERE'S IVY AND ON THE WALLS AND BUSHES SO IT'S NOT LIKE COLLEGIATE,YEAH TURTLE IT'S A BEAUTIFUL CANVAS IT'S CAN BE REALLY NICE I'M AND THE ROOM THAT'S FRIENDLY AND LIKE THERE'S IVY AND ON THE WALLS AND ASHES SO IT'S NOT LIKE COLLEGIATE,YEAH TURTLE IT'S A BEAUTIFUL CANVAS IT'S CAN BE REALLY NICE I'M AND THE ROOM THAT'S FRIENDLY AND LIKE THERE'S IVY AND ON THE WALLS AND BUSHES SO IT'S ALL LIKE COLLEGIATE,YEAH TOTALLY IT'S A BEAUTIFUL CANVAS IT'S CAN BE REALLY NICE I'M AND THE ROOM THAT'S FRIENDLY AND LIKE THERE'S IVY AND ON THE WALLS AND BUSHES SO IT'S SO LIKE COLLEGIATE,YEAH TOTALLY IT'S A BEAUTIFUL CANVAS IT'S CAN BE REALLY NICE I'M AND THE ROOM THAT'S FRIENDLY AND LIKE THERE'S IVY AND ON THE WALLS AND ASHES SO IT'S SO LIKE COLLEGIATE
Ses02F_impro07_F020,YOU DON'T THINK IT'S EXACTLY WHAT THEY WANT,YOU DON'T THINK IT'S EXACTLY WHAT THEY WANTED,AND I DON'T THINK IT'S EXACTLY WHAT THEY WANT,I DON'T THINK IT'S EXACTLY WHAT THEY WANT,AND I DON'T THINK IT'S EXACTLY WHAT THEY WANTED,I DON'T THINK IT'S EXACTLY WHAT THEY WANTED,BUT I DON'T THINK IT'S EXACTLY WHAT THEY WANT,YOU DON'T MEAN THAT IT'S EXACTLY WHAT THEY WANT,YOU DON'T THINK IT'S EXACTLY WHAT I WANT,YET I DON'T THINK IT'S EXACTLY WHAT THEY WANT
Ses02F_impro07_F021,WELL WELL YOU KNOW I'VE THOUGHT ABOUT IT BUT THEY HAVE SO MANY DIFFERENT THINGS THAT I THINK I MIGHT LIKE TRY SOME THINGS OUT FOR,WELL WELL YOU KNOW I'VE THOUGHT ABOUT IT BUT THEY HAVE SO MANY DIFFERENT THINGS THAT I THINK I MIGHT LIKE TRY SOME THINGS ALFRED,WELL WELL YOU KNOW I'VE THOUGHT ABOUT IT THAT THEY HAVE SO MANY DIFFERENT THINGS THAT I THINK I MIGHT LIKE TRY SOME THINGS OUT FOR,WELL MA'AM YOU KNOW I'VE THOUGHT ABOUT IT BUT THEY HAVE SO MANY DIFFERENT THINGS THAT I THINK I MIGHT LIKE TRY SOME THINGS OVER,WELL MA'AM YOU KNOW I'VE THOUGHT ABOUT IT BUT THEY HAVE SO MANY DIFFERENT THINGS THAT I THINK I MIGHT LIKE TRY SOME THINGS OUT FOR,WELL MA'AM YOU KNOW I'VE THOUGHT ABOUT IT THAT THEY HAVE SO MANY DIFFERENT THINGS THAT I THINK I MIGHT LIKE TRY SOME THINGS OUT FOR,WELL MA'AM YOU KNOW I'VE THOUGHT ABOUT IT THAT THEY HAVE SO MANY DIFFERENT THINGS THAT I THINK I MIGHT LIKE TRY SOME THINGS OVER,WELL MA'AM YOU KNOW I'VE THOUGHT ABOUT IT BUT THEY HAVE SO MANY DIFFERENT THINGS THAT I THINK I MIGHT LIKE TRY SOME THINGS OUT,WELL MA'AM YOU KNOW I'VE THOUGHT ABOUT IT BUT THEY HAVE SO MANY DIFFERENT THINGS THAT I THINK I MIGHT LIKE TRY SOME THINGS ALFRED,M M AND YOU KNOW I'VE THOUGHT ABOUT IT BUT THEY HAVE SO MANY DIFFERENT THINGS THAT I THINK I MIGHT LIKE TRY SOME THINGS OUT FOR
Ses02F_impro07_F022,BECAUSE ALSO IN THE LISTS OF THEIR UM WITH JESUS OR WHATEVER YOU HAVE A LOT OF TRACES WITHIN EVERY SINGLE ONE SO YOU CAN LIKE TRY THINGS OUT ENOUGH TO BE LIKE I'D SAID MATTHEW I'D TAKE THIS YOUNG ENEMY,BECAUSE ALSO IN THE LISTS OF THEIR UM WITH JESUS OR WHATEVER YOU HAVE A LOT OF TRACES WITHIN EVERY SINGLE ONE SO YOU CAN LIKE TRY THINGS OUT ENOUGH TO BE LIKE I'D SAID MATTHEW I'D TAKE THIS YOU KNOW,BECAUSE ALSO IN THE LISTS OF THEIR UM WITH JESUS OR WHATEVER YOU HAVE A LOT OF TRACES WITHIN EVERY SINGLE ONE SO YOU CAN LIKE TRY THINGS OUT ENOUGH TO BE LIKE I'VE SAID MATTHEW I'D TAKE THIS YOU KNOW,BECAUSE ALSO IN THE LISTS OF THEIR UM WITH JESUS OR WHATEVER YOU HAVE A LOT OF TRACES WITHIN EVERY SINGLE ONE SO YOU CAN LIKE TRY THINGS OUT ENOUGH TO BE LIKE I'D SAID MATTHEW I'D TAKE THIS YOU KNOW ME,BECAUSE ALSO IN THE LISTS OF THEIR UM WITH JESUS OR WHATEVER YOU HAVE A LOT OF TRACES WITHIN EVERY SINGLE ONE SO YOU CAN LIKE TRY THINGS OUT ENOUGH TO BE LIKE I'D SAID MATTHEW I'D THINK THIS YOU KNOW,BECAUSE ALSO IN THE LISTS OF THEIR UM WITH JESUS OR WHATEVER YOU HAVE A LOT OF TRACES WITHIN EVERY SINGLE ONE SO YOU CAN LIKE TRY THINGS OUT ENOUGH TO BE LIKE I'D SAID MATTHEW I'D TAKE THIS IN AN ENEMY,BECAUSE ALSO IN THE LISTS OF THEIR UM WITH JESUS OR WHATEVER YOU HAVE A LOT OF TRACES WITHIN EVERY SINGLE ONE SO YOU CAN LIKE TRY THINGS OUT ENOUGH TO BE LIKE I'VE SAID MATTHEW I'D TAKE THIS YOU KNOW ME,BECAUSE ALSO IN THE LISTS OF THEIR UM WITH JESUS OR WHATEVER YOU HAVE A LOT OF TRACES WITHIN EVERY SINGLE ONE SO YOU CAN LIKE TRY THINGS OUT ENOUGH TO BE LIKE I'VE SAID MATTHEW I'LL TAKE THIS YOU KNOW ME,BECAUSE ALSO IN THE LISTS OF THEIR UM WITH JESUS OR WHATEVER YOU HAVE A LOT OF TRACES WITHIN EVERY SINGLE ONE SO YOU CAN LIKE TRY THINGS OUT ENOUGH TO BE LIKE I'VE SAID MATTHEW I'D TAKE THIS IN AN ENEMY,BECAUSE ALSO IN THE LISTS OF THEIR UM WITH JESUS OR WHATEVER YOU HAVE A LOT OF TRACES WITHIN EVERY SINGLE ONE SO YOU CAN LIKE TRY THINGS OUT ENOUGH TO BE LIKE I'D SAID MATTHEW I'D THINK THIS YOU KNOW ME
Ses02F_impro07_F023,UM SO I DUNNO,I AM SO I DUNNO,OH UM SO I DUNNO,THERE UM SO I DUNNO,I M SO I DUNNO,NOW UM SO I DUNNO,I'M SO I DUNNO,NO UM SO I DUNNO,OH I AM SO I DUNNO,AH UM SO I DUNNO
Ses02F_impro07_F024,YOU'LL TAKE A BUNCH OF STUFF AND SEE,I'LL TAKE A BUNCH OF STUFF AND SEE,I'LL TAKE A BUNCH O STUFF AN SEE,YOU'LL TAKE A BUNCH O STUFF AN SEE,I'LL TAKE A BUNCH O STUFF AND SEE,YOU'LL TAKE A BUNCH O STUFF AND SEE,MADE EM GO TAKE A BUNCH OF STUFF AND SEE,AND I'LL TAKE A BUNCH OF STUFF AND SEE,MAYBE YOU'LL TAKE A BUNCH OF STUFF AN SEE,MAYBE YOU'LL TAKE A BUNCH OF STUFF AND SEE
Ses02F_impro07_F025,I THEY HAVE LIKE THOSE OF SO MANY LIKE PROCEEDINGS LIKE THIS SCHOOL IT'S TOP DOWN AND IT'S LIKE THE DEPARTMENTS WITHIN IT YOU KNOW I MEAN,I THEY HAVE LIKE THOUSANDS OF SO MANY LIKE PROCEEDS LIKE THIS SCHOOL IT'S TOP DOWN AND IT'S LIKE THE DEPARTMENTS WITHIN IT YOU KNOW I MEAN,I THEY HAVE LIKE THOUSANDS OF SO MANY LIKE PROCEEDINGS LIKE THIS SCHOOL IT'S TOP DOWN AND IT'S LIKE THE DEPARTMENTS WITHIN IT YOU KNOW I MEAN,I THEY HAVE LIKE DISEASES HAVE SO MANY LIKE PROCEEDINGS LIKE THIS SCHOOL IT'S TOP DOWN AND IT'S LIKE THE DEPARTMENTS WITHIN IT YOU KNOW I MEAN,I THEY HAVE LIKE LOTS OF SO MANY LIKE PROCEEDINGS LIKE THIS SCHOOL IT'S TOP DOWN AND IT'S LIKE THE DEPARTMENTS WITHIN IT YOU KNOW I MEAN,I THEY HAVE LIKE THOSE OF SO MANY LIKE PROCEEDINGS LIKE THIS SCHOOL IT'S TOP DOWN AND IT'S LIKE THE DEPARTMENTS WITHIN IT YOU KNOW IT I MEAN,I THEY HAVE LIKE THOUSANDS OF SO MANY LIKE PROCEEDINGS LIKE THIS SCHOOL IT'S TOP DEAD AND IT'S LIKE THE DEPARTMENTS WITHIN IT YOU KNOW I MEAN,I THEY HAVE LIKE THOUSANDS OF SO MANY LIKE PROCEEDS LIKE THIS SCHOOL IT'S TOP DOWN AND IT'S LIKE THE DEPARTMENTS WITHIN IT YOU KNOW IT I MEAN,I THEY HAVE LIKE DISEASES OF SO MANY LIKE PROCEEDINGS LIKE THIS SCHOOL IT'S TOP DOWN AND IT'S LIKE THE DEPARTMENTS WITHIN IT YOU KNOW I MEAN,I THEY HAVE LIKE THOUSANDS OF SO MANY LIKE PROCEEDS LIKE THIS SCHOOL IT'S TOP DOWN AND IT'S LIKE THE DEPARTMENTS WITHIN IT YOU KNOW WHAT I MEAN
Ses02F_impro07_F026,I CAN'T BE ONE OF THEM NOW I DON'T THINK I CAN IF I GOT YOUR NAME RIGHT AND I'M AFRAID YOU ARE,I CAN'T BE ONE OF THEM NOW I'LL LAY WHAT KIND OF THEY GOT YOU'RE LAME RAGGED AND OUT OF THE WAY,I CAN'T BE ONE OF THEM NOW I'LL LAY WHAT KIND OF THEY GOT YOU'RE LAME RAG AND I'M AFRAID YOU ARE,I CAN'T BE ONE OF THEM NOW I'LL LAY WHAT KIND OF THEY GOT YOU'RE LAME RAGGED AND I'M AFRAID OF YOU,I CAN'T BE ONE OF THEM NOW THEY'LL THINK WHAT KIND OF THEY GOT YOU'RE LAME RAGGED AND I'M AFRAID YOU ARE,I CAN'T BE ONE OF THEM NOW I'LL LAY WHAT KIND OF THEY GOT YOU'RE LAME RAGGED AND I'M AFRAID YOU ARE,I CAN'T BE ONE OF THEM NOW THEY'LL THINK WHAT KIND OF THEY GOT YOU'RE LAME RAGGED AND I'M AFRAID OF YOU,I CAN'T BE ONE OF THEM NOW I'LL LAY WHAT KIND OF THEY GOT YOU'RE LAME RAGGED AND UNAVAILING,I CAN'T BE ONE OF THEM NOW I'LL TAKE WHAT KIND OF THEY GOT YOU'RE LAME RAGGED AND I'M AFRAID YOU ARE,I CAN'T BE ONE OF THEM NOW I'LL THINK WHAT KIND OF THEY GOT YOU'RE LAME RAGGED AND I'M AFRAID YOU ARE
Ses02F_impro07_F027,YOU MAY BE GLAD,YOU AND ANY MAN,YOU LET ME BE,YOU LET ME BE LYING,YOU YOU MAY BE GLAD,YOU MAY BE BLAMED,YOU MAY BE LANG,YOU YOU MAY BE LYING,YOU LET ME BE LANG,YOU AND ANY BELIKE
Ses02F_impro07_F028,HE LOOKED DOWN AT THE HOUNDS AND SAID,HE LOOKED OUT OF THE WINDOW AND HIS HAND ALONG HIM AND JUST SO,HE LOOKED OUT OF THE WINDOW AND HIS HAND ALONG HIM AND JUST AS,HE LOOKED DOWN AT THE HOUNDS HOUNDS AND HOUNDS,HE LOOKED DOWN AT THE HUNTER'S HAND HIS HAND ALONG HIM AND JUST SO,HE LOOKED DOWN AT THE HUNTER'S HAND HIS HAND ALONG HIM AND JUST AS,HE LOOKED DOWN ON THE HOUNDS AND HOUNDS AND HOUNDS,HE LOOKED DOWN AT THE HOUNDS AND HOUNDS AND HOUNDS,HE LOOKED DOWN AT THE HOUNDS HOUNDS RAN ALONG HIM AND JUST SO,HE THREW DOWN THE HOUNDS AND HOUNDS RAN ALONG HIM AND JUST SO
Ses02F_impro07_F030,NO NO SAID HE,NO NO SADIE,NOW NO SATAN,NOW NO SADIE,NO NO SAID I,NOW NO SAID HE,NOW NO SAY IT,NO NO SAID SHE,NO NO SAY IT,NOW DON'T SAY THAT
Ses02F_impro07_F031,WELL DON'T THEY GO OUT AND LOUIS,WELL DON'T THEY GO OUT EH LOUIS,WELL DON'T YOU GO OUT EH LOUIS,WELL DON'T THEY GO OUT A LITTLE,WELL DON'T YOU GO OUT AND LOUIS,WELL DON'T I GO OUT AND LOUIS,WELL DON'T THEY GO OUT OF LOUIS,WELL DON'T HE GO OUT AND LOUIS,WELL DON'T HE GO OUT EH LOUIS,WELL DON'T I GO OUT EH LOUIS
Ses02F_impro07_F032,BUT I SAID WHISTLING ABOUT A WEEK,BUT HE SAID WHISTLING ABOUT A WEEK,BUT HE SAID WHIMPERING ABOUT A WEEK,BUT I SAID WHIMPERING ABOUT A WEEK,SO I SAID WHIMPERING ABOUT A WEEK,BUT I SAID WHISTLING ABOUT A WICK,BUT HE SAID WHISTLING ABOUT A WICK,BUT HE SAID WHIMPERING ABOUT A WICK,BUT I SAID WHIMPERING ABOUT A WICK,SO I SAID WHIMPERING ABOUT A WICK
Ses02F_impro07_F033,BUT IT'LL BE FINE I MEAN I'M BEEN SO EXCITED MISSY LET'S GO ON,BUT IT'LL BE FINE I MEAN I'M BEEN SO EXCITED MISSY LET'S GO DOWN,BUT IT'LL BE FINE I MEAN I'M BEEN SO EXCITED MISSY WASN'T SURE,BUT IT'LL BE FINE I MEAN I'M IM SO EXCITED MISSY LET'S GO,BUT IT'LL BE FINE I MEAN I'M IM SO EXCITED MISSY LET'S GO ON,BUT IT'LL BE FINE I MEAN I'M IM SO EXCITED MISSY LET'S GO DOWN,BUT IT'LL BE FINE I MEAN I'M I'M SO EXCITED MISSY WAS A YOUNG FELLOW,BUT IT'LL BE FINE I MEAN I'M I'M SO EXCITED MISSY LET'S GO,BUT IT'LL BE FINE I MEAN I'M BEEN SO EXCITED MISSY WASN'T SHE FELL,BUT IT'LL BE FINE I MEAN I'M I'M SO EXCITED MISSY LET'S GO ON
Ses02F_impro07_F034,AND NOW AND THEN THERE'S A GREAT BOOK LIKE THE SCHOOL AND I'LL WORK AND MAKE THEM WORK AND WE'LL FIND YOU AGAIN,AND NOW AND THEN THERE'S A GREAT BOOK LIKE THE SCHOOL THAT'S ALL WORDY AND MAKE THEM WORK AND WE FIND NOW WE CAN,AND NOW AND THEN THERE'S A GREAT BOOK LIKE THE SCHOOL AND I'LL WORK AND MAKE THEM WORK AND WE'LL FIND THE WAY,AND NOW AND THEN THERE'S A GREAT BOOK LIKE THE SCHOOL AND I'LL WORK AND MAKE THEM WORK AND WE'LL FIND HOW WE CAN,AND NOW AND THEN THERE'S A GREAT BOOK LIKE THE SCHOOL THAT'S ALL WORDY AND MAKE THEM WORK AND WE FIND NO WE CAN,AND NOW AND THEN THERE'S A GREAT BOOK LIKE THE SCHOOL THAT'S ALL WORDY AND MAKE THEM WORK AND WE FIND HERE WE CAN,AND NOW AND THEN THERE'S A GREAT BOOK LIKE THE SCHOOL AND I'LL WORK AND MAKE HIM WORK AND WE'LL FIND THE WAY,AND NOW AND THEN THERE'S A GREAT BOOK LIKE THE SCHOOL THAT'S ALL WORDY AND MAKE THEM WORK AND WE FIND NOW WE GET,AND NOW AND THEN THERE'S A GREAT BOOK LIKE THE SCHOOL THAT'S ALL WORDY AND MAKE THEM WORK AND WE FIND HERE WE GET,AND NOW AND THEN THERE'S A GREAT BOOK LIKE THE SCHOOL AND I'LL WORK AND MAKE THEM WORK AND WE'LL FIND NOW WE CAN
Ses02F_impro07_F035,NOW I KNOW THAT HON I CAN WAIT,NOW I KNOW THAT I CAN'T WAIT,NOW I KNOW THAT A HUN I CAN WAIT,NOW I KNOW WHAT A HUN I CAN BE,NOW I KNOW THAT A HON I CAN WAIT,NOW I KNOW THAT A HUNT CAN'T WAIT,NOW I KNOW THAT THE HON I CAN WAIT,NOW I KNOW WHAT A HUN I CAN DO,NOW I KNOW THAT HON I CAN'T WAIT,NOW I KNOW THAT A HUN CAN'T WAIT
Ses02F_impro07_F036,ROW TO THE REAR THANK YOU,ROW TO THE ROAD THANK YOU,ROW TO THE RIVER THANK YOU,ROW TO THE RIGHT THANK YOU,ROW TO THE ROOM THANK YOU,GO TO THE ROOM THANK YOU,ROAD TO THE ROAD THANK YOU,THE ROAD TO THE ROAD THANK YOU,THE ROAD TO THE RIVER THANK YOU,THE ROAD TO THE RUIN THANK YOU
Ses02F_impro07_F037,THINGS,THANKS,THESE,THINGS THAT,THINKS,THESE THINGS,THINGS WHICH,THINGS THIS,THINGS DO,THINGS I
Ses02F_impro07_M000,SO HAS HE GONE,SO HAS IT GONE,SO HAS HE,SO HAS HE DONE,SO HAD HE GONE,SO HAS HE BEEN,HOW HAS HE GONE,SO IS HE GONE,SO HAS HE ON,SO WAS HE GONE
Ses02F_impro07_M001,YET WHAT WHERE,YET WHERE,YES BUT WHERE,YOU KNOW WHAT WHERE,YUN WHAT WHERE,YUH WHAT WHERE,YOU DON'T WANT WHERE,YOU DON'T KNOW WHERE,YUNDER WHAT WHERE,YUH WENT WHERE
Ses02F_impro07_M002,NO WAIT,OH NO WAIT,NO WAY,NO WEIGHT,AND NO WAIT,BUT NO WAIT,AH NO WAIT,NOWAY,OR NO WAIT,O NO WAIT
Ses02F_impro07_M003,ARE YOU GOING TO GO YOU GO,ARE YOU GOING TO GO AGAIN,ARE YOU GOING TO GO AND GET HIM,ARE YOU GOING TO GO YOU,ARE YOU GOING TO GO AND GO,ARE YOU GOING TO GO AND GET HER,ARE YOU GOING TO GO AND GET,ARE YOU GOING TO GO YOU CAN,ARE YOU GOING TO GO YOU GET,ARE YOU GOING TO GO AND GET IT
Ses02F_impro07_M004,HOW THAT'S THE,OH THAT'S THE,THAT'S THE,HOW THAT'S,SO THAT'S THE,AH THAT'S THE,HOW DAT'S THE,HOW THAT'S IT,HOW DAT'S DE,HOW'S THE
Ses02F_impro07_M005,FIRST CHOICE HUH AH THAT'S SO OSS AND NOW BUT YOU CAN BE YOU'RE GOING TO BE HERE,FIRST CHOICE HUH AH THAT'S SO OSS AND NOW THAT YOU CAN BE YOU'RE GOING TO BE HERE,FIRST CHOICE HUH AH THAT'S SO HOSS AND NOW BUT YOU CAN BE YOU'RE GOING TO BE HERE,FIRST CHOICE HUH AH THAT'S SO HOSS AND NOW THAT YOU CAN BE YOU'RE GOING TO BE HERE,FIRST CHOICE HAH AH THAT'S SO OSS AND NOW THAT YOU CAN BE YOU'RE GOING TO BE HERE,FIRST CHOICE HUH AH THAT'S SO OSS AND NOW YOU CAN BE YOU'RE GOING TO BE HERE HIT,FIRST CHOICE HAH AH THAT'S SO OSS AND NOW BUT YOU CAN BE YOU'RE GOING TO BE HERE,FIRST CHOICE HUH AH THAT'S SO OSS AND NOW BUT YOU CAN BE YOU'RE GOING TO BE HERE HIT,FIRST CHOICE HUH AH THAT'S SO BOSS AND NOW BUT YOU CAN BE YOU'RE GOING TO BE HERE,FIRST CHOICE HAH AH THAT'S SO OSS AND NOW THAT YOU CAN BE YOU'RE GOING TO BE HERE HIT
Ses02F_impro07_M006,AND HOW DEFTLY I GET UP HERE,AND HOW DEFTLY I GET UP THERE,AND HOW DEFTLY I'D GET UP THERE,AND HOW DEFTLY I'D GET UP HERE,AND HOW DEFTLY I'D GET HIM THERE,AND HOW DEFTLY I'D GET ON,AND HOW DEFTLY I'D GET UP,AND HOW DEFTLY I'D GET ALONG,AND HOW DEFTLY I'D GET ON HERE,AND HOW DEFTLY I'D GET ABOARD
Ses02F_impro07_M007,AH,,AH I,NOW,AH AND,AH AH,AH WHAT,AH BUT,AH MY,THE AH
Ses02F_impro07_M008,NOW,YES,WELL,YET,YAH,YEAH,THERE,NO,AH,YEA
Ses02F_impro07_M009,SLIDE ON,RIDE ON,FIGHT ON,SIDE ON,RIGHT ON,SPIED ON,FLY ON,SLID ON,FLED ON,FIRE ON
Ses02F_impro07_M011,AH THAT'S GOOD O ME NO,AH THAT'S GOOD O NO,AH THAT'S GO O ME NO,AH THAT'S GOIN I KNOW,AH THAT'S GOOM ME NO,AH THAT'S GOOD O MY NO,AH THAT'S GOIN ME NO,AH THAT'S GOOD O ME NOW,AH THAT'S GOOD OLE NO,AH THAT'S GOOD O YOU NO
Ses02F_impro07_M016,SLOWLY,SMILING,SMOOTHING,SMOKING,SNOWING,SMELLING,SNOW,STANDING,SNOWY,SMOOTHLY
Ses02F_impro07_M017,RIGHT RIGHT RIGHT MAN THEN YOU GET YOU GOT TO DO AN ORIENTATION I GUESS,RIGHT RIGHT RIGHT MAN WHEN YOU GET YOU GOT TO DO AN ORIENTATION I GUESS,RIGHT RIGHT RIGHT A MAN THEN YOU GET YOU GOT TO DO AN ORIENTATION I GUESS,RIGHT RIGHT RIGHT A MAN WHEN YOU GET YOU GOT TO DO AN ORIENTATION I GUESS,RIGHT RIGHT RIGHT MAN THEN YOU GET YOU GOT TO DO AN ORDENTATION I GUESS,RIGHT RIGHT RIGHT A MAN THAT YOU GET YOU GOT TO DO AN ORIENTATION I GUESS,RIGHT RIGHT RIGHT A MAN WHEN HE GET YOU GOT TO DO AN ORIENTATION I GUESS,RIGHT RIGHT RIGHT MAN THEN YOU GET YOU GOT TO DO AN ORDINATION I GUESS,RIGHT RIGHT RIGHT A MAN AND YOU GET YOU GOT TO DO AN ORIENTATION I GUESS,RIGHT RIGHT RIGHT MAN THEN YOU GET YOU GOT TO DO AN ORDIENTATION I GUESS
Ses02F_impro07_M018,AND OVER US,AN OVERSEER,AND OVER THE OCEAN,AND OVER US AND THERE,AN OVERSEER THERE,AND OVER US AND,AND OVER OXEN,AND OVER ALL OF THEM,AND OVER US AND THEN,AN OVER OXEN
Ses02F_impro07_M019,AND CONTINUE YOU INTO THE CAMP AS BEFORE,AND CONTINUE YOU INTO THE CANVAS BEFORE I,AND PURSUE YOU INTO THE CAMPS BEFORE I,AND CONTINUE YOU INTO THE CAMPS BEFORE I,AND PURSUE YOU INTO THE CHAMBERS BEFORE I,AND CONTINUE YOU INTO THE CAMP AS BEFORE I,AND CONTINUE YOU INTO THE CHAMBERS BEFORE I,AND CONTINUE YOU INTO THE CAMPS BEFORE ME,AND PURSUE YOU INTO THE CAMPS BEFORE ME,AND CONTINUE YOU INTO THE CHAMBERS BEFORE ME
Ses02F_impro07_M023,I AM MERRY,I AM MARRIED,I MARRIED,MY MARY,I MARRY,AND MARY,I AM MARY,A MARY,THEY MARRIED,A MERRY
Ses02F_impro07_M027,WELL THEY ARE,WELL WE ARE,WELL YOU ARE,AH WE ARE,AH YOU ARE,WELL WELL,WELL THERE ARE,AH THEY ARE,NOW YOU ARE,WELL I ARE
